label,title,text
1,Misleading claims about COVID-19 vaccine spread by ‘Plandemic’ video,
1,"Photos show Democratic presidential nominee Joe Biden and his running mate, Sen. Kamala Harris, are not abiding by public health recommendations regarding face masks.",
1,"Facebook posts shared tens of thousands of times during the Democratic National Convention criticize Joe Biden, Kamala Harris, and other top Democrats for appearing in a crowd without masks.",
1,"“Hydroxychloroquine is why Uganda, with a population of 43M, has only 15 COVID-19 deaths.”",
1,The overall lethality of COVID-19 (infection fatality rate) is about 0.1% to 0.3% and thus in the range of a severe influenza; up to 60% of all persons may already have a certain cellular background immunity to the new coronavirus due to contact with previous coronaviruses (i.e. cold viruses); there is still little to no scientific evidence for the effectiveness of cloth face masks in healthy and asymptomatic individuals,
1,Our chance of not dying from COVID-19 is 99.96%,
1,Would you take a vaccine with a 33% death rate to feel safe from a virus with a 0.06% death rate?,
1,"Sweden has a lower COVID-19 death rate than Spain, Italy and the U.K., even though it never had a lockdown",
1,"A large, country-randomized controlled trial with 2.7 billion people shows that COVID-19 patients treated with hydroxychloroquine have a 79.1% lower death rate",
1,"Posts shared thousands of times on social media claim Legionnaires’ disease, a serious type of pneumonia, can be contracted through reusable face masks, implying that it could be mistaken for COVID-19.",
1,Social media posts shared thousands of times attribute comments criticizing coronavirus measures to Fox News host Tucker Carlson.,
1,An image appearing to be an publication by the World Health Organization (WHO) shows that the global health body does not recommend mask-wearing during the COVID-19 pandemic.,
1,"If masks were effective and necessary, non-mask wearers should be dead by now",
1,A Facebook post shared thousands of times claims the United States has reached herd immunity for COVID-19.,
1,"We can’t make a vaccine that works for flu, no vaccine for the respiratory syncytial virus (RSV), and we can’t cure cancer. Yet somehow scientists can make a vaccine for COVID-19 in six months?",
1,"Hydroxychloroquine, azithromycin and zinc cure COVID-19",
1,"Facebook posts shared thousands of times claim Washington’s mayor exempted members of Congress from a 14-day quarantine after they traveled to the funeral of civil rights icon John Lewis in Georgia, which the city considers a “high-risk” state for the coronavirus.",
1,"Herman Cain, one-time Republican presidential candidate, died of colon cancer, not COVID-19.",
1,"The truck depicting the god of death Anubis is aimed at testing and then infecting people, which eventually ends with human microchipping.",
1,A group called America’s Frontline Doctors are featured in viral video claiming hydroxychloroquine cures COVID-19.,
1,"Stella Immanuel claims that the drug combination of hydroxychloroquine, zinc and azithromycin is a cure and preventative for COVID-19 and that people don’t need to wear masks or practice physical distancing in a Breitbart video featuring a group called America’s Frontline Doctors.",
1,Wearing a face mask to slow the spread of COVID-19 could cause Legionnaires’ disease.,
1,The nasal swab test for COVID-19 damages the “blood-brain barrier” and can therefore lead to brain infections.,
1,The Centers for Disease Control and Prevention made a mistake and has lowered its COVID-19 case count in Florida.,
1,A Facebook video claims that a new oral spray “deactivates 98% of the coronavirus” in the mouth. This effect is believed to be partly due to the ability of trypsin to sever proteins on the surface of the SARS-CoV-2 virus.,
1,5G generates the coronavirus SARS-CoV-2 in human skin cells.,
1,A mobile COVID-19 testing station bears a logo that depicts an ancient deity of death.,
1,"Masks do nothing to prevent the spread of pathogens, including SARS-CoV-2, and cause oxygen deficiency",
1,Facebook posts shared thousands of times claim that the US Federal Emergency Management Agency (FEMA) is offering hazard pay compensation to individuals who worked during the novel coronavirus pandemic.,
1,5G technology creates coronavirus in human cells,
1,US Education Secretary Betsy DeVos said children are “stoppers” of coronavirus.,
1,Video says face masks are ineffective in mitigating transmission of COVID-19 and are harmful to the wearer.,
1,"Photo shows former President Barack Obama, Dr. Anthony Fauci and Melinda Gates at the “Wuhan lab in 2015.”",
1,"A photo claims to show Dr. Fauci, Melinda Gates and Barack Obama at the Wuhan Lab in 2015.",
1,Claim that Secretary of Education Betsy DeVos said ‘only’ .02% of kids are likely to die when they go back to school during the pandemic.,
1,The U.S. government has approved a second round of coronavirus stimulus payments to everyone who signs up — and that the money will be forthcoming in “5-7 business days.”,
1,Deaths from COVID-19 are nearing zero in the U.S.,
1,Using nasopharyngeal swabs for COVID-19 testing is unnecessary; saliva samples from mouth swabs is an equivalent substitute,
1,Articles shared hundreds of times on Facebook in multiple countries claim that holy communion has been banned in Toronto as part of the Canadian city’s response to the coronavirus pandemic.,
1,Nasal swabs used to obtain samples for COVID-19 tests reach the blood-brain barrier and may damage it.,
1,A spike in COVID-19 cases in the U.S. seen in June 2020 is due to increased testing.,
1,No one has died from the coronavirus; there are no antibodies that identify SARS-CoV-2; pathologists have no means of verifying whether a person was infected with SARS-CoV-2; SARS-CoV-2 has not fulfilled Koch’s postulates.,
1,"Infant deaths decreased dramatically during the lockdown, when the number of vaccines administered was reduced; vaccines are a cause of sudden infant death syndrome",
1,Face masks don’t “protect against covid19 and other viruses.”,
1,Antibodies for the common cold produce a positive COVID-19 test. False-positive results from COVID-19 antibody testing are behind the COVID-19 cases reported in the U.S.,
1,Ghislaine Maxwell — the recently arrested associate of Jeffrey Epstein — has tested positive for COVID-19 while in jail.,
1,U.S. hospital laboratories falsify COVID-19 tests to inflate the number of positive results. Nurses sent unused swabs for COVID-19 testing and they all came back positive.,
1,Gas sensors show that wearing a face mask leads to oxygen deficiency and carbon dioxide toxicity.,
1,Facebook posts shared in at least three countries as scientists work to develop a COVID-19 vaccine claim to offer a legal way to refuse vaccination.,
1,Wisconsin is clearly seeing a decline in COVID infections.,speaker robin vos r rochester and senate majority leader scott fitzgerald r juneau released the following statement after filing an original action in the wisconsin state supreme court challenging the governors extension of the safer at home order through may 26th. the public outcry over the safer at home order continues to increase as positive covid cases decrease or remain flat. there s immense frustration regarding the extension as it goes beyond the executive branchs statutory power. 
1,Facebook posts claim a child who is infected with the novel coronavirus will be taken to a hospital unaccompanied.,
1,Indias Ministry of Home Affairs banning citizens from posting about the new coronavirus on social media.,
1,"42 Democratic senators, plus two Independents, voted against sending direct payments to Americans as part of the coronavirus economic stimulus package.",
1,The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID-19.,
1,A picture of a reporter in protective medical gear is an example of how the American media hypes the COVID-19 pandemic.,
1,"A photo taken by a journalist showing a beach in Jacksonville, Florida, isnt from after the government reopened the beach as news reports have claimed.",
1,News photo from stay-at-home protest was doctored to add Confederate flag.,
1,"Says a photo shows the SAME EXACT PEOPLE at two different beaches in Los Angeles County and Jacksonville, Florida.",
1,My wife is suffering from coronavirus and she is pregnant. The doctor said she wont survive it.,
1,A Democratic attack ad said Trump shipped 17 tons of medical supplies to China.,
1,The COVID-19 virus cannot spread in areas sprayed with eucalyptus oil vapor.,
1,Goodwill Industries International has fired all its employees because of the coronavirus pandemic.,
1,Says Wisconsins in-person election has caused a surge in new coronavirus cases,
1,Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).,contrary to the narrative that is being pushed by the mainstream that the covid 19 virus was the result of a natural mutation and that it was transmitted to humans from bats via pangolins dr luc montagnier the man who discovered the hiv virus back in 1983 disagrees and is saying that the virus was man made. follow up luc montagnier insists that the virus came out of a lab in follow up interview read also in line with remdesivir chloroquine and azithromycin might also shorten hospital stays. 
1,Trumps claim that Obamas handling of the 2009 swine flu pandemic was a disaster.,
1,"""House of Representatives Speaker Nancy Pelosi posted and deleted a video on her Twitter account, in which she calls on people to visit Chinatown in San Francisco.""",
1,"House Speaker Nancy Pelosi delete a February 24, 2020, video of herself from Twitter in which she encouraged people to visit Chinatown in San Francisco.",
1,The Food and Drug Administration (FDA) authorized Bodyspheres two-minute COVID-19 testing kit.,
1,"Posts shared more than 2,000 times on social media appear to show a 2009 tweet from Donald Trump criticizing then-president Barack Obamas handling of the H1N1 pandemic and placing ALL responsibility on presidents in a crisis.",
1,Amazons Alexa says the government released the coronavirus.,
1,"In the United States, there are 360,000 (deaths) a year from swimming pools. But we dont shut the country down for that.",
1,Hospitals compensated 15% more for COVID-19 patients under the stimulus package and New York City hospitals are inflating their coronavirus numbers.,
1,A video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered (manmade).,"programming alert exclusive documentary on origin of the ccp virus premieres the first documentary movie on the origin of ccp virus tracking down the origin of the wuhan coronavirus will premiere tonight on several youtube and facebook channels. the ccp virus which originated from china has rampaged through the world and caused more than 80,000 deaths infecting at least 1.4 million. the true number of deaths and infections is unknown due to the underreporting of cases from mainland chin. "
1,Says Democrats are on vacation until May 4 and refuse to come back to sign a bill to help small businesses.,
1,"This is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.",
1,Thieves are handing out chemically doused face masks to knock people out before robbing them.,
1,Economic stimulus payments to U.S. citizens will either reduce future tax refunds or will have to be paid back.,
1,"Valley County, Montana, mandated pink arm bands for residents who had submitted to quarantine protocol.",
1,"Gov. Andrew Cuomo was simply saying if we can share 20 percent of your excess, your non-used ventilators, to help people in other parts of the state on a voluntary basis, that would be great. Of course, there was a reaction to that, which was not positive.",buffalo n.y. wivb)--mayor byron brown was handing out masks at the kenfield langfield development saturday.the mayor says the city has enough masks to make sure anyone living in buffalo municipal housing authority is protected. he added that with warmer weather on its way and people headed outside keeping your face covered is important. 
1,Trumps claims about how quickly WHO acted to announce human-to-human transmission,
1,Video shows an orangutan who started washing its hands after watching the zookeepers do so during the coronavirus pandemic.,
1,"The news media has tried to pass off one mans death, attributed to complications from COVID-19, as two separate cases.",
1,Michigan Governor Gretchen Whitmer bans buying US flags during lockdown.,gateway pundit crazed democrat michigan governor gretchen whitmer prohibited big box retailers from in person sale of seeds because according to her food is non essential. crisis gardens or victory gardens were always encouraged during a time of war or a time of crisis to supplement rations and boost morale. but the tyrannical governor of michigan barred grocery stores and brick and mortar retailers from selling vegetable seeds. in late march michigan democrat governor gretchen whitm. 
1,"The president looks like he was ahead of the curve Ð as you know, he talks about this all the time Ð on shutting down travel from China.",on monday morning president donald trump tweeted for the purpose of creating conflict and confusion some in the fake news media are saying that it is the governors decision to open up the states not that of the president of the united states the federal government. let it be fully understood that this is incorrect he continued. it is the decision of the president and for many good reasons. with that being said the administration and i are working closely with the governors and th. 
1,Joe Diffies death was labeled as a COVID-19 death and it wasnt!,
1,Trump says that as president he has total authority to re-open states amid the COVID-19 pandemic.,donald trump 11:23 thank you very much everyone. before i begin i d like to offer my condolences and best wishes to the people all across our great south who have endured deadly tornadoes and other severe weather in texas louisiana mississippi alabama florida georgia tennessee and south carolina. donald trump 11:42 my administration will do everything possible to help those communities get back on their feet. were speaking with their governors and representatives. femas alr. 
1,"Average American has less than two-tenths of one percent chance of getting coronavirus, and thus public health officials overreacted to the pandemic.",
1,"Trump claims it is the decision of the President, not governors, to open up the states.",
1,"The US $1,200 coronavirus relief checks this year are just an advance on your next tax return. É Next year, youre automatically going to owe $1,200 come tax season.",
1,Says American NIAID director Dr. Anthony Fauci stands to lose 100 million dollars on Bill Gates Ôvaccine for the coronavirus. Because he invested in this vaccine.,
1,Numbers in a photo about death tolls from COVID-19 show that the pandemic is a con.,
1,Michigan Gov. Gretchen Whitmer banned sale of American flags during COVID-19 pandemic.,crazed democrat michigan governor gretchen whitmer prohibited big box retailers from in person sale of seeds because according to her food is non essential. crisis gardens or victory gardens were always encouraged during a time of war or a time of crisis to supplement rations and boost morale. but the tyrannical governor of michigan barred grocery stores and brick and mortar retailers from selling vegetable seeds. in late march michigan democrat governor gretchen whitmer limited access o. 
1,A photo shared thousands of times on Facebook claims to show the throat of a novel coronavirus patient.,
1,COVID-19 stimulus checks are an advance on 2020 tax refunds.,
1,Dr. Anthony Fauci was telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large.,
1,Calling 1-800-382-5277 or 1-800-746-6373 gives Americans information on their coronavirus stimulus checks.,
1,Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,america is getting a real glimpse of life under left wing democrat rule. frightening. this is the same left wing nut who banned hydroxychloroquine despite its unquestionable efficacy in treating coronavirus. related trump deranged michigan gov. whitmer reverses ban on hydroxychloroquine and chloroquin now begging for it michigan democratic governor gretchen whitmers latest executive order deems a number of home improvement and gardening items including fruit and vegetable seeds non es. 
1,Mosques allowed to stay open in the US during the coronavirus epidemic while churches are forced to close.,
1,15 major global pandemics all originated in China.,
1,President Donald Trump referred to the coronavirus as a hoax or political conspiracy.,
1,Pentagon confirms coronavirus accidentally got into chemtrail supply train.,washington dc the pentagon has issued an indefinite hold order to all military air wings and airlines to immediately stop spraying chemtrails until it can be determined how the covid-19 virus found its way into the chemtrail fluid supply. according to an unofficial pentagon source speaking on the condition of anonymity the entire chemtrail program is on hold until we can figure out who coughed onto a batch of chemicals being manufactured at one of our suppliers factories. news of this. 
1,Chinas Communist government created the novel coronavirus in a laboratory and released it into the world as a deadly bioweapon.,
1,Viral publication says a video shows a gay party in Italy few weeks before COVID-19.,
1,"Per order from @GovWhitmer, people in Michigan are now banned from purchasing a new baby car seat in stores.",
1,Mass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.,
1,Soap and hand sanitizer can be used to kill coronavirus in the body.,
1,"Viral video with Dr. Shiva Ayyadurai proves Fauci, White House and others are members of deep state.",
1,Herd immunity is probably why California has far fewer COVID-19 deaths than New York.,
1,"Church services cant resume until were all vaccinated, says Bill Gates.",bill gates the microsoft founder who is currently worth approximately 102 billion dollars is spending a fortune on eugenics and sterilization around the world. for gates vaccines seem to be his solution for the greatest problem in his view that existspeople. as you can see in the video below gates lauds vaccines as a way to limit the human population. notice that after claiming the earth must see a zero co2 impact from humanity by limiting services to zero gates claims that part o. 
1,COVID-19 mass vaccine in Senegal that began in West Africa killed the first seven children who received it.,
1,CDC admitted to lying about COVID-19 death stats.,can any government statistics on covid-19 deaths be trusted. it is an open question now that we are learning that the highly respected world class centers for disease control and prevention cdc has been lying to us. this revelation comes a few days after i wrote here at american thinker that new york city was lying about covid-19 deaths. the normal rules about reporting deaths have been violated by that city in the rush to inflate the body count presumably to steer more taxpayer money to t. 
1,Top German virologist JŸrgen Rissland recommended drinking whiskey to combat COVID-19.,updated in keeping with facebook 's efforts to report fake news we have updated this article to include the doctor 's full statement. while the world health organization vehemently disagrees dr. juergen rissland a lead doctor at the institute for virology at saarland university hospital in germany went on the record to say drinking whiskey can protect against covid-19. and that is definitely one report we can all get behind. while appearing on the morning show dr. rissland was asked. 
1,Bill Gates is plotting to use COVID-19 testing and a future vaccine to track people with microchips.,
1,"COVID-19 causes prolonged and progressive hypoxia (starving your body of oxygen) by binding to the heme groups in hemoglobin in your red blood cells. People are simply desaturating (losing O2 in their blood), and thats what eventually leads to organ failures that kill them, not any form of ARDS or pneumonia.",
1,COVID-19 vaccine trial killed 7 children in Senegal.,a youtube channel named anggies fam posted a video that has been uploaded on april 6 telling a story about seven children who died from coronavirus vaccination in senegal africa. in the video the woman stated today somebody called my husband a nurse. a nurse told my husband that seven infants have died in senegal due to this coronavirus vaccine. i just do nt know why you must collect this thing when you know that its not being tested. you want to use your people as guinea pigs or lab. 
1,U.S. Speaker of the House Nancy Pelosi said she wont pass new economic stimulus package unless senior citizens are excluded.,no one knows why the democrats hate senior citizens so much. they do everything that they can to screw our nations retirees trying to screw them out of social security screw them out of medicare and now they want to screw them out of their stimulus checks. nancy pelosi and her colleagues have been endlessly stalling the stimulus bill. they filled it was so much pork that all that was left for the people was 1200 each. had it not been for all of her additions we would have been entitled t. 
1,"Social media posts recommend tonic water and zinc as a cure for a novel coronavirus infection, as the drink contains quinine, whose synthetic relative hydroxychloroquine is on trial as a COVID-19 treatment.",
1,US arrests the man who created Covid-19.,
1,"India is suing Microsoft founder Bill Gates because of his vaccine against coronavirus that killed 77,000 girls.",
1,Coronavirus will be exterminated if lockdowns are lifted.,
1,The number of deaths from COVID-19 are exaggerated.,
1,Michigan governor violated social distancing order while signing stay-at-home order.,
1,Posts claim that the speaker of the Winsconsin state assembly Robin Vos wore protective gear that election workers he forced to work É do not have.,
1,5G exposure/radiation pollution compromises the structure and function of hemoglobin in cells and worsens COVID-19 pandemic.,natural news is 5 g to partially blame for coronavirus deaths. can 5 g cause the blood that s circulating in your body to be unable to carry oxygen. what s especially horrifying about the critical care of coronavirus patients is that they are nt suffering from viral pneumonia but rather from an inability to absorb or carry oxygen in the blood. this has been confirmed by nyc icu emergency physician cameron kyle sidell who has released several videos detailing how coronavirus is not a kind o. 
1,"A video has been viewed tens of thousands of times on Twitter, Facebook and YouTube alongside a claim that it shows the US Federal Bureau of Investigation (FBI) raiding a synagogue that was used to hoard face masks and other medical equipment.",
1,Steam from boiling oranges kills COVID-19.,
1,Everyone is only dying of coronavirus now.,
1,"Facebook posts claims the Asian, Hong Kong, swine and bird flus each killed more people than coronavirus.",
1,Queen Elizabeth said Philippine President Rodrigo Duterte is the kind of leader who knows the way É Filipinos are very lucky to have him.,
1,A photo shows South Carolina after stay-at-home orders were announced.,
1,The Obama administration left President Donald Trump with a stockpile with a cupboard that was bare.,
1,Same little boy died of COVID-19 in three different countries. Still dont believe the media is #fakenews?,
1,The North Carolina and Virginia State line is closed. Nothing in or out.,
1,A poem about people staying home was written by Kathleen OMara in 1869.,
1,59 people die as pastor gives them Dettol to drink in church to prevent coronavirus.,
1,"Asian flu, Hong Kong flu, swine flu and bird flu killed more people than coronavirus has today. And that the government never shut down anything for those.",
1,"Claim that televangelist Pat Robertson said some young people are doing all kinds of unnatural things with their sex organs. When people do that, they transfer all kinds of chemicals from ladies private parts and thats where I think the (corona)virus came from.",
1,People are handing out masks doused with chemicals which knocks you out cold so they can rob you.,
1,"Former NYC Mayor Rudolph Giuliani said he bought $2M in shares of Novartis, a primary supplier of hydroxychloroquine in early February.",
1,Coronavirus is fake or a made-up ploy by 5G.,
1,Photo of a mannequin being wheeled into a hospital shows the COVID-19 coverup.,
1,Hospital is caught using a dummy in pandemic footage.,
1,"In Italy, they have thrown their money on the streets. A clear message to the whole world that money is not enough when health is in danger.",
1,Coronavirus death toll in the U.S. is inflated by inclusion of unrelated deaths.,
1,President Trump has repeatedly touted the anti-malarial medications hydroxychloroquine and chloroquine as the much-needed solution to covid-19,
1,"Social media posts shared tens of thousands of times claim White House adviser Dr. Anthony Fauci stands alone in insisting hydroxychloroquines effectiveness against COVID-19 is unproven, while Italy, France, Spain and Brazil say it works.",
1,Says 44 US senators voted NOT to send stimulus checks.,
1,The NBA is asking President Donald Trump to resign or well never play again.,the national basketball association recently suspended its season. at the time the reason given seemed justified given the emergence of covid-19 and that several players in the league have now tested positive. however it has been confirmed by anonymous sources that a league shutdown has been in the making for months and that they were simply looking for a good excuse to shut it all down. the players led by washington generals all star power forward art tubolls held a secret vote prior to t. 
1,President Donald Trumps statement that lupus patients are not vulnerable to COVID-19 is not true.,
1,New data shows that 21 million Chinese died from the coronavirus.,a new data intercepted by the united states reveals that 21 million people died in china from december 2019 to march 2020 us intelligence officials conclude in a classified report for the trump administration. the intelligence report stated that at least 20.9 million of the deaths were linked to coronavirus. according to the us the intercepted data that shows that china underreported its coronavirus infections and deaths was validated for a second time when it tallied with a data released by. 
1,Suggestion that Trump urged sick people to get out and vote during COVID-19 pandemic.,
1,"Ron Johnson said Americans should go back to work, because death is an unavoidable part of life.","ron johnson americans should go back to work because death is an unavoidable part of life "". "
1,North Carolina hospital beds are typically 85% full across the state.,
1,"Weve got to give the American public a rough estimate of how long we think this is going to take, based mostly on the South Korean model, which seems to be the trajectory that we are on, thankfully, and not the Italian model.",
1,Says the U.S. is developing an antivirus that includes a chip to track your movement.,
1,"Big Pharma, Dr. Anthony Fauci and Bill Gates want to ban hydroxychoroquine.",why big pharma fauci and bill gates want to ban hydroxychloroquine a democratic michigan state lawmaker has credited president trump 's publicizing of the anti malarial drug hydroxychloroquine with saving her life after her health plummeted when she contracted coronavirus. state rep. karen whitsett of detroit told the ingraham angle on monday that if it was n't for trump pushing the drug through the food and drug administration 's approval process for off label use and touting it repeatedl. 
1,The Chinese Communist Party is using Zoom as a way to spy on our citizens.,
1,Photo on biography of a boy who died from coronavirus.,leeann jemmott wiki leeann jemmott bio leeann jemmott is best known as the partner of fred the godson. who died on april 22 2020 of the .... 
1,Joe Exotic tests positive for coronavirus in prison. Its been confirmed.,
1,Walmart has adopted staggered shopping days based on age in response to the pandemic.,
1,"We were slow with the testing, but very quick with the travel ban. And thats been much more critical in saving lives.",this is a rush transcript from the five march 31 2020. this copy may not be in its final form and may be updated. dana perino fox news anchor hello everyone. i 'm dana perino along with greg gutfeld juan williams jesse watters and dagen mcdowell. it is 5:00 in new york city. this is the five. all right happy tuesday the president and the coronavirus task force they are set to hold another briefing as the pandemic in america gets deadlier by the minute. we 'll take you to the white. 
1,Walmart is adopting a staggered schedule due to the coronavirus.,
1,Says Nostradamus predicted the coronavirus in a 1551 passage about a plague spreading from the east.,
1,Israeli recipe for lemon and bicarbonate drink is a coronavirus cure.,
1,Video claiming you cant catch coronavirus.,
1,"Kennedy Center, PBS donated to Democrats after getting COVID-19 stimulus money.",
1,In New York every contaminated corpse belongs to the state and will be incinerated without any wakes or memorial services to pay your last respects.,
1,Says Goodwill used the pandemic to fire all of their employees instead of laying them off.,
1,Goodwill laid off all employees due to COVID-19.,
1,Says video shows the Chinese are destroying the 5G poles as they are aware that it is the thing triggering the corona symptoms.,
1,Trumps claim that he imposed the first travel ban on China.,
1,Audio of Biden calling the coronavirus a hoax.,
1,"If you line up all the countries that have done (Covid-19) testing on a per-capita basis, were [the US] at the bottom of the list.",
1,Rivers in Oklahoma are full of catfish carrying the virus.,
1,Governors across the U.S. are announcing that the current school year will be repeated due to coronavirus school closings.,
1,A video purportedly showing COVID-19 victims in body bags strewn across the floor of a New York hospital was shared several thousand times in multiple languages on social media.,
1,"Facebook posts shared thousands of times feature a video of U.S. officials talking to reporters, with captions claiming they are announcing the arrest of a Chinese scientist.",
1,Coronavirus does not cause a runny nose; is killed by temperatures above 26 degrees; causes lung fibrosis within days of infection; can be diagnosed by holding your breath for 10 seconds; and can be cured in the early stages by drinking plenty of water.,
1,The coronavirus has been released by China [É] it was purposely propagated by the Chinese themselves.,
1,Alkaline diet protects against the coronavirus.,
1,A series of statements by Joe Biden claiming he called for action before he did,
1,Empty hospital lots and waiting rooms are indicative of a coronavirus hoax.,
1,"Now, theyre doing tests on airlines Ñ very strong tests Ñ for getting on, getting off. Theyre doing tests on trains Ñ getting on, getting off.",the president thank you very much everybody. thank you. so america continues to wage all out war to defeat the virus this horrible horrible virus. you see how terrible it is especially when you look at the numbers from yesterday. and we explained why were extending our nationwide guidelines to slow the spread by 30 days. together we have the power to save countless lives. were attacking the virus on every front with social distancing economic support for our workers rapid medical int. 
1,Missouri students will have to repeat the school year because of COVID-19 school closings.,
1,NYT invented the video of a doctor fighting coronavirus in hospital.,
1,Thousands of Facebook users in the United States are sharing 1-800 numbers that are supposed to help track stimulus payments promised by the federal government under a novel coronavirus economic aid package.,
1,"The army is patrolling all the streets, towns and villages in Ireland.",when you register you agree to our terms of use and privacy policy. 
1,Says theres an 800 number you can call to track the status of your stimulus check.,
1,"If you ask Amazons Alexa about the origin of the coronavirus pandemic, it says the government planned it.",
1,"Social media posts shared thousands of times advocate 10 methods to prevent a novel coronavirus infection, citing recommendations allegedly stemming from autopsies on COVID-19 victims, including in China, where the virus first emerged.",
1,"Posts on social media claim there is a US patent for the novel coronavirus and a European patent for a vaccine, citing specific patent numbers.",
1,Video tries to show coronavirus is fake and not dangerous.,
1,Students in America have to repeat the same grade next year.,
1,Lemon juice and bicarbonate mixture prevents and cures COVID-19 in Israel.,
1,Coronavirus is caused by 5G.,
1,Says certain states are banning the sale of alcohol.,
1,We inherited a broken test for COVID-19.,
1,World Economic Forum is a fascist cabal manipulating coronavirus.,
1,Big Pharma is behind COVID-19 deaths.,
1,CBS aired wrong video footage of a coronavirus hospital.,
1,COVID-19 is a hoax or scapegoat for economic disaster.,
1,Taking a flu shot causes false positive results on COVID-19 tests.,
1,Says Nancy Pelosis daughter is on the board of the Kennedy Center so thats why it was so important to send them all that money.,
1,Whether microwaving face masks sanitizes them.,with masks in short supply many people are being forced to re use masks. that means the idea of microwaving masks has gone from a crazy sounding idea to a critically practical question. another reason this question is critical smart air tests found that washing n95 masks with soap and water cut particle capture effectiveness by 21. other tests found that even just dipping in alcohol no rubbing involved harmed performance. to get to the bottom of it smart air was dumb enough to test it by. 
1,Did Kennedy Center give DNC $5 million after getting relief from coronavirus stimulus?,
1,COVID-19 not being blamed for deaths due to unrelated causes.,
1,"President Donald Trump claims he didnt say that some of the medical equipment that governors are requesting, they dont actually need.",the president thank you very much. appreciate everybody being here. beautiful day in the rose garden. tremendous distance between chairs. social distancing. you practice it very well. we appreciate it. that s great. i want to start today by highlighting several critical developments on both the testing and treatment that will help us win our war against the coronavirus. on friday the fda authorized a new test developed by abbott labs that delivers lightning fast results in as little as five. 
1,"CEOs got advance notice of COVID, then resigned to dump stock.",
1,Queen Elizabeth tests positive for COVID-19.,earlier today it was rumoured that queen elizabeth ii had tested positive for the novel coronavirus while many uk media outlets have kept silent. in a new press release the buckingham palace has confirmed that the queen of the united kingdom has indeed tested positive. the 93-year old could have come into contact with british prime minister boris johnson who tested positive yesterday. the royal palace said in the statement hmq has also tested positive and is currently self isolating at wi. 
1,Says COVID-19 remains in the air for eight hours and that everyone is now required to wear masks everywhere.,
1,Says a 5G Law Passed while everyone was distracted with the coronavirus pandemic and lists 20 symptoms associated with 5G exposure.,
1,"Posts shared more than 20,000 times on Facebook feature a photo of a crying child and two others showing a woman and a man in hospital beds, claiming that the boys parents are infected with the novel coronavirus",
1,"Says for otherwise healthy people experiencing mild to moderate respiratory symptoms with or without a COVID-19 diagnosis É only high temperatures kill a virus, so let your fever run high, but not over 103 or 104 degrees F.",
1,Pictures and reports of empty hospitals prove COVID-19 spread is fake crisis for real government planned agendas.,
